created_at,author.username,author.name,author.description,author.verified,type,text,public_metrics.retweet_count,public_metrics.like_count,public_metrics.reply_count,public_metrics.quote_count,tweet_url,lang,geo.full_name
2023-08-21 21:29:26+00:00,JSz1984,J Sz,,False,retweet,"🚨Shein to zło w czystej postaci, które powinno być bojkotowane.\n\n👉 niebezpieczne materiały\n👉 masowa produkcja\n👉 uzależniająca aplikacja\n👉promocja u influencerow\n👉 drakońskie warunki w szwalniach\n\nWięcej w txt @Basia_Erling: https://t.co/rm0kIxXKdq",11,72,9,5,https://twitter.com/JSz1984/status/1693737096752562373,pl,
2023-08-21 20:37:57+00:00,africaupdates,Africa Updates,"Africa News, Africa Business, Africa Tech, Africa Sports & Entertainment.\n\nSubscribe to our YouTube: https://t.co/0HUbhrGNn9",False,retweet,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/DMVIwoy9ax https://t.co/BicQbbje8a,5,7,0,0,https://twitter.com/africaupdates/status/1693724141151477835,en,
2023-08-21 20:34:59+00:00,nelo_kang,woman,most tweets are reverse thoughts.,False,retweet,"Looking for affordable thrift corsets, body suits and tops?\nSearch no more! 🤭\n\nLuxe thrift got you covered with the best quality from UK/US fast fashion brands like Shein, Zara , Boohoo etc\n\nHit the follow button and turn on your notifications ❤️ https://t.co/PnV1SoqSwF",9,7,0,1,https://twitter.com/nelo_kang/status/1693723393701314607,en,
2023-08-21 20:30:08+00:00,VolnayCm,Volnay,"William Pitt: “Necessity is....the argument of the tyrants ... the creed of slaves""\nDroit Musique Arts de la table - mes tweets \nn’engagent que moi",False,retweet,Shein should be blocked from selling into any respectable country. https://t.co/Ujap7jD4M8 https://t.co/Rvff4aDnmT,2,5,1,0,https://twitter.com/VolnayCm/status/1693722174152909294,en,
2023-08-21 20:15:17+00:00,Afreauxbae,$outhern Belle 🎀 🐚,human having a human experience  | Art Director | Astrology babe,False,original,I hate watching clothing hauls. Especially from fast fashion brands! Like girl the earth is dying and you’re doing a $700 SHEIN haul. Read the room!,0,0,1,0,https://twitter.com/Afreauxbae/status/1693718437116158434,en,
2023-08-21 19:59:52+00:00,tomek_madej,Tomek Madej,"idę młody, genialny, trzymam ręce w kieszeniach; stawiam kroki milowe zamaszyste jak świat",False,retweet,"🚨Shein to zło w czystej postaci, które powinno być bojkotowane.\n\n👉 niebezpieczne materiały\n👉 masowa produkcja\n👉 uzależniająca aplikacja\n👉promocja u influencerow\n👉 drakońskie warunki w szwalniach\n\nWięcej w txt @Basia_Erling: https://t.co/rm0kIxXKdq",11,72,9,5,https://twitter.com/tomek_madej/status/1693714556810330381,pl,
2023-08-21 19:49:47+00:00,Daanishlakhani,Danish Lakhani,,False,reply,@MadsC007 @MortensenBach Shein is now a player in the region and I believe the key battleground will be fast fashion and cosmetics.,0,0,0,0,https://twitter.com/Daanishlakhani/status/1693712020434985156,en,
2023-08-21 19:41:02+00:00,pbnkopane,コパネ さん,Black Woman not POC | South(ern)Africa | 丰满 | falo português | 私は日本語を話します| Retweets ≠ endorsements,False,retweet,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/DMVIwoy9ax https://t.co/BicQbbje8a,5,7,0,0,https://twitter.com/pbnkopane/status/1693709816466739427,en,
2023-08-21 19:38:21+00:00,realrola,Madridista_MouCarloDelBosque,I am the Special ONE & above all else I LOVE & FEAR GOD....#HalaMadrid!,False,retweet,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/DMVIwoy9ax https://t.co/BicQbbje8a,5,7,0,0,https://twitter.com/realrola/status/1693709141997494554,en,
2023-08-21 19:37:49+00:00,Rodgersgerald4,Rodgers gerald,,False,retweet,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/DMVIwoy9ax https://t.co/BicQbbje8a,5,7,0,0,https://twitter.com/Rodgersgerald4/status/1693709007179907533,en,
2023-08-21 19:37:45+00:00,Rodgersgerald4,Rodgers gerald,,False,retweet,Shein is the most downloaded shopping app on South Africa’s Google Play store. And it isn’t even trying that hard.\n\n@janicekew has more on the fast-fashion brand's expansion https://t.co/4WS17VTSTL https://t.co/wuu1BvVr8M,1,15,5,0,https://twitter.com/Rodgersgerald4/status/1693708989597380723,en,
