date,username,name,user_bio,verified,type,text,retweets,likes,replies,quotes,tweet_url,lang,geo.full_name
2023-08-20 09:09:33+00:00,_thegoodgoods,The Good Goods,📊 La mode fondée sur des preuves - Média & Conseil,False,reply,"@RaveaudGilles @BrunoLeMaire @rglucks1 @Yann_Rivoallan @CamilleEtienne_ ⁃La stratégie s’attaque dans un premier temps à tout ce qui est répréhensible en chez Shein aujourd’hui (matraquage pub, allégations mensongères sur les promotions ou le greenwashing, déclaration de TVA, santé mentale des jeunes, etc) ;",0,1,1,0,https://twitter.com/_thegoodgoods/status/1693188509484351614,fr,
2023-08-19 09:46:55+00:00,z4xxli,liz,,False,reply,@SHEIN_Official https://t.co/U5FyyThbmP 😘😘😘,0,0,0,0,https://twitter.com/z4xxli/status/1692835527660048581,qme,
2023-08-11 17:39:42+00:00,workby9offpast5,Lee,bla,False,reply,@chismosavirus Isn’t this the person who got invited by Shein to visit their factory and it backfired for greenwashing? Or do they just look the same? Lol,0,6,1,0,https://twitter.com/workby9offpast5/status/1690055404875927552,en,
2023-08-10 14:32:36+00:00,MercoglianoTB,MercoglianoTrueBlog,Blogger di MercoglianoTrueBlog,False,original,"#China e-commerce growth: #UrbanRevivo #iFashion #Temu #Shein #LightInTheBox \nbut #US-China worsening relations could stop it \n#luxury #greenwashing sins: hidden trade-off, no proof, vagueness, irrelevance, fibbing, false labels\nsuspect #Chanel #Gucci\nhttps://t.co/5aCnV1M0Lo https://t.co/uxOL5LcDSl",0,0,0,0,https://twitter.com/MercoglianoTB/status/1689645931879448576,en,
2023-08-08 13:56:53+00:00,NehalMisra,Nehal Misra,"disco ball personality | marketing @cred_club | NIFT grad | fashion, lifestyle, and a whole lot of me 🪩",False,reply,"@RainaDhananjay its mainly just greenwashing unfortunately. brands use VERY low quality fabrics (polyester mostly) which cannot be easily recycled. everything mostly just ends up in landfills. \nfast fashion brands include: shein, zara, h&amp;m, forever21, ASOS, uniqlo, urban outfitters and the likes",0,0,1,0,https://twitter.com/NehalMisra/status/1688912166072795136,en,
2023-08-08 11:37:45+00:00,CleanMvp,CLEAN_MVP,,False,reply,"@AmaToridayo yup I make a research about Shein and all the clothes they use is from child labor. They copied designs, bad for the environment, greenwashing and the material could be chemically dangerous.",0,1,1,0,https://twitter.com/CleanMvp/status/1688877151448186880,en,
2023-08-04 22:49:32+00:00,kittensartsboo1,Karkki🌾 COMMISSIONS OPEN,🌷  Writer | Artist | INFP | she/her | 🔞\n\n🌷 Instagram: https://t.co/tsDTX154nd,False,reply,"@Kiraofthewind1 @annyinacastle @booksofgeronimo @MiguelPizzuto86 @danielhorcic @RipleyJNick @Edendreams1 @dylankingwrites @ciptabasa19 @tedwardwrites @CaseySharpwrite @ayrtonsilvaofc @blenderbeetle @5FeetofRedFury @allensonarmory @Amanda_N_Newman @AmarathRohmdyre @amsanchezauthor @Areaer_Novels @AuthorAudreyS @AuthorAndiMarie @Azshure13 @ClarkeEvelien @dragonkeeper22 @EuleGrey @FoxHuxlee @IForestspirit @JoyceReynoldsW1 @JustSlavio @KethricW @KittyCwrites @guerrero_ramey @Leslie_AnnMoore @MaximeJaz @MBlackrane @mirna0722 @NatalieKelda @OddballTales @QuillQuestions @RosanthaTindall @stevencworlds @writingdemons @LEScottwrites I spent this whole day writing that essay about greenwashing and shein in a hyperfocus fueled frenzy 😂 I could not think about anything else, I just had to exorcise it from my body, so I wrote 4k words and finished it. Now I'm free",0,8,1,0,https://twitter.com/kittensartsboo1/status/1687596659314757632,en,
2023-08-04 13:13:46+00:00,Cornelia77,Cornelia,,False,reply,@SHEIN_Official https://t.co/003AkKOdqJ,0,0,0,0,https://twitter.com/Cornelia77/status/1687451764969115648,qme,
2023-08-03 11:45:06+00:00,PerspektiveOn,Perspektive Online,Unabhängige Presse von unten – täglich objektive Nachrichten & revolutionäre Kommentare. \nApp: https://t.co/8EDlqd5RMT\nTelegram: https://t.co/fBv2wlIrHD\nTel/WA: 0151 16991583,False,original,"In den letzten Wochen folgte ein Skandal in der Fast Fashion Industrie dem nächsten. Marken wie Shein und H&amp;M betreiben skrupellos Greenwashing, verschönigen die Arbeitsbedingungen in ihren Fabrikhallen und klauen Designs.\n\nhttps://t.co/DtYnn638OE",0,3,0,0,https://twitter.com/PerspektiveOn/status/1687067063871770625,de,
2023-07-27 14:11:01+00:00,ApparelHerron,Herron Apparel,Believe. Achieve. You spoke. We listened. You wanted more from your sports apparel brand. Comfort. Performance. Style. Accountability. #BeStrong,False,original,Don't be played! Large brands use influencers to spin their narrative as being a 'green company.' Don't fall for it. Do your research and don't rely in 'influencers' who are often paid for their content. https://t.co/jXNqGvYpE1 #greenwashing #spin,0,0,0,0,https://twitter.com/ApparelHerron/status/1684567066827980803,en,
